long,lat
40.23017,69.07893
40.23472,69.06165
40.23888,69.03943
40.2386,69.03221
40.20805,68.76833
40.20361,68.73471
40.20139,68.7211
40.19888,68.70833
40.19471,68.68915
40.18407,68.642
40.18138,68.61276
40.17833,68.60082
40.17305,68.59776
40.16694,68.59804
40.16277,68.60138
40.1586,68.60582
40.15249,68.61443
40.13999,68.63666
40.12193,68.68137
40.11771,68.70236
40.11639,68.71388
40.12222,68.76221
40.12816,68.79137
40.12949,68.79938
40.14527,68.86804
40.14805,68.87331
40.14999,68.87831
40.1511,68.88527
40.15083,68.90082
40.14833,68.98442
40.14416,68.98888
40.13999,68.99304
40.13082,68.99803
40.11194,69.00777
40.10111,69.00943
40.08971,69.01
40.0761,69.00722
40.06999,68.99748
40.06833,68.99136
40.06805,68.98415
40.07527,68.93276
40.07999,68.82526
40.07833,68.8221
40.07633,68.81926
40.07055,68.78526
40.06527,68.78388
40.00777,68.80803
39.99388,68.81526
39.97777,68.82944
39.95999,68.85027
39.94972,68.86304
39.90249,68.90637
39.89777,68.90888
39.89138,68.90915
39.88638,68.90582
39.88305,68.90138
39.87694,68.89055
39.82861,68.76749
39.82749,68.76082
39.82944,68.75333
39.83305,68.7486
39.84444,68.73692
39.85416,68.73415
39.86333,68.72916
39.86777,68.72665
39.87138,68.72221
39.87193,68.71416
39.8625,68.6561
39.85824,68.64267
39.83943,68.63721
39.7711,68.62859
39.6561,68.62997
39.645,68.62526
39.63638,68.61748
39.62416,68.60609
39.55471,68.54027
39.55055,68.52916
39.545,68.51138
39.5375,68.47331
39.53555,68.38472
39.53666,68.35332
39.5536,68.17526
39.55666,68.14888
39.56722,68.08249
39.60055,67.90776
39.61138,67.86304
39.61832,67.84415
39.61999,67.83638
39.62138,67.82748
39.63055,67.75916
39.62916,67.72971
39.62582,67.70972
39.61527,67.68193
39.52888,67.50444
39.48358,67.44196
39.46249,67.44247
39.43721,67.43997
39.37054,67.43221
39.36527,67.43082
39.29916,67.41054
39.29472,67.40776
39.28878,67.366
39.27166,67.3647
39.23666,67.36638
39.22527,67.36748
39.22027,67.36914
39.21249,67.37637
39.20972,67.38193
39.16944,67.51027
39.16777,67.51776
39.16666,67.52609
39.16694,67.53333
39.17166,67.56667
39.17305,67.58804
39.17333,67.60304
39.17194,67.61748
39.16499,67.63443
39.13805,67.69026
39.13472,67.6947
39.12555,67.69971
39.11555,67.70277
39.01599,67.69527
39.01305,67.69609
38.99944,67.70387
38.99666,67.70943
38.99361,67.72527
38.99027,67.75082
38.97777,67.8486
38.97694,67.85555
38.97665,67.86331
38.97916,67.87581
38.99694,67.93471
39.00805,67.98442
39.00028,68.10776
38.99749,68.11331
38.98555,68.12387
38.97638,68.12886
38.95666,68.13582
38.94388,68.14444
38.93138,68.15387
38.90471,68.18027
38.90083,68.18387
38.8961,68.18637
38.86583,68.19553
38.85444,68.19637
38.84332,68.19136
38.82417,68.17859
38.81722,68.16998
38.8086,68.15498
38.80388,68.14444
38.8,68.13304
38.79749,68.12053
38.79722,68.11331
38.66471,68.07416
38.54639,68.07054
38.54138,68.07193
38.43305,68.12137
38.42833,68.12387
38.42444,68.1272
38.33555,68.21111
38.33221,68.21555
38.32639,68.22638
38.3111,68.26193
38.30305,68.27916
38.30027,68.28442
38.27332,68.33138
38.26194,68.34276
38.24583,68.35803
38.24194,68.36165
38.23777,68.36499
38.22443,68.37248
38.21027,68.37886
38.19554,68.38416
38.18999,68.38472
38.1836,68.38416
38.16388,68.38081
38.15721,68.37915
38.08555,68.35498
38.04615,68.33781
37.95889,68.27748
37.95444,68.27388
37.95083,68.26971
37.94499,68.25278
37.94215,68.23839
37.93582,68.18054
37.93221,68.16165
